Brain_Region,Cluster_Size,Statistic_Value,X,Y,Z,Hemisphere,Brain_Space,Task_Name
SMG,918,4.63,143,81,109,Left,MNI,
LOC_AG,799,3.89,39,65,85,Right,MNI,
Left_PCC_precuneus_PCG_Right_PCG_posterior_MTG_LOC_AG_SMG,733,-4.0,101,87,109,Left,MNI,
Left_PCC_precuneus_PCG_Right_PCG_posterior_MTG_LOC_AG_SMG,61797,-5.07,37,75,77,Right,MNI,
Postcentral_gyrus_insula_SMG_PCG_SPL,13253,-4.82,131,99,69,Left,MNI,
Precuneus_LOC,4738,-4.24,135,55,71,Left,MNI,
Frontal_pole_IFG,2007,-4.45,51,162,81,Right,MNI,
Amygdala_basal_ganglia,2986,-4.53,67,125,59,Right,MNI,
Frontal_pole_paracingulate_gyrus,1693,-4.39,67,185,73,Right,MNI,
Postcentral_gyrus_LOC_precuneus_SPL_SMG,116358,-5.87,153,111,97,Left,MNI,
Postcentral_gyrus_LOC_precuneus_SPL_SMG,167983,-5.73,71,186,81,Right,MNI,
Frontal_pole_MFG_SFG,1319,-3.93,119,151,109,Left,MNI,
Insula_putamen,1869,-4.18,117,139,71,Left,MNI,
Occipital_pole,192,-3.5,91,23,79,Left,MNI,
Occipital_pole,194,-3.54,89,24,79,Right,MNI,
Frontal_pole,765,-4.12,135,173,67,Left,MNI,
PCG_SFG,653,-3.77,63,115,135,Right,MNI,
Caudate,354,2.95,100,131,89,Left,MNI,
