Brain_Region,BA,X,Y,Z,Statistic_Value,Brain_Space,Task_Name
L-Frontal-Inf-Tri,45.0,-45,36,3,13.85,MNI,
R-Insula,47.0,33,27,6,10.93,MNI,
L-Supp-Motor-Area,32.0,-3,18,48,9.88,MNI,
R-Cerebelum-Crus1,,12,-75,-30,9.55,MNI,
L-Frontal-Mid-Orb,45.0,-45,48,0,8.91,MNI,
R-Temporal-Sup,48.0,60,-3,-3,8.22,MNI,
L-Temporal-Sup,48.0,-60,-9,3,8.03,MNI,
R-Calcarine,17.0,12,-66,9,7.68,MNI,
L-Calcarine,17.0,-6,-63,9,7.18,MNI,
L-Cerebelum-Crus2,,-5,-81,-24,6.29,MNI,
R-Occipital-Inf,18.0,30,-90,-3,6.22,MNI,
L-Parietal-Inf,7.0,-30,-66,42,5.9,MNI,
L-Fusiform,37.0,-36,-32,-19,5.72,MNI,
Vermis-4-5,,0,-51,-15,4.9,MNI,
R-Frontal-Inf-Orb,47.0,33,39,-9,4.65,MNI,
L-Temporal-Mid,21.0,-66,-30,3,4.44,MNI,
L-Frontal-Sup-Medial,10.0,-6,66,27,4.27,MNI,
L-Rectus,11.0,0,39,-15,4.26,MNI,
L-Occipital-Inf,19.0,-33,-87,-9,4.15,MNI,
R-Frontal-Inf,48.0,45,27,30,3.58,MNI,
L-Frontal-Inf-Tri,45.0,-45,36,3,9.95,MNI,
L-Temporal-Sup,22.0,-60,-12,6,9.52,MNI,
R-Temporal-Sup,48.0,60,-3,-3,9.31,MNI,
L-Hippocampus,20.0,-27,-9,-18,7.34,MNI,
L-Temporal-Inf,37.0,-45,-51,-12,7.2,MNI,
R-Rolandic-Oper,48.0,60,0,12,6.54,MNI,
L-Supp-Motor-Area,8.0,-6,21,48,6.02,MNI,
R-Cerebelum-Crus1,,9,-81,-24,5.68,MNI,
R-Cerebelum-Crus2,,12,-84,-36,5.57,MNI,
R-Heschl,48.0,68,-15,9,4.86,MNI,
Vermis-9,,0,-48,-36,4.75,MNI,
L-Temporal-Mid,21.0,-66,-39,3,4.49,MNI,
R-Frontal-Inf-Orb,47.0,36,39,-6,4.49,MNI,
R-Precentral,4.0,39,-27,69,4.22,MNI,
L-Fusiform,37.0,-36,-32,-19,3.92,MNI,
L-Temporal-Sup,22.0,-60,-9,6,8.88,MNI,
L-Heschl,48.0,-39,-24,12,5.64,MNI,
L-Temporal-Inf,20.0,-42,-15,-27,8.54,MNI,
L-Fusiform,20.0,-36,-30,-18,5.06,MNI,
R-Temporal-Sup,48.0,60,-3,-3,8.43,MNI,
R-Heschl,48.0,48,-15,12,7.41,MNI,
L-Frontal-Inf-Tri,48.0,-45,24,24,8.43,MNI,
L-Frontal-Inf-Tri,45.0,-51,36,9,6.99,MNI,
L-Frontal-Mid-Orb,46.0,-48,48,0,6.55,MNI,
R-Cerebelum-6,19.0,21,-60,-24,7.9,MNI,
L-Temporal-Inf,37.0,-48,-54,-12,7.04,MNI,
L-Temporal-Mid,21.0,-51,-45,-3,3.92,MNI,
