Participant,Threshold,Brain_Region,X,Y,Z,Cluster_Size,Brain_Space,Task_Name
P1,p < 0.01,VWFA_left,-47,-65,-13,106,Talairach,
P1,p < 0.01,left_IFG,-44,-5,36,134,Talairach,
P2,p < 0.05,VWFA_left,-46,-45,-15,90,Talairach,
P2,p < 0.05,left_IFG,-39,7,23,36,Talairach,
P3,p < 0.01,VWFA_left,-43,-52,-14,79,Talairach,
P3,p < 0.01,left_IFG,-43,10,30,92,Talairach,
P4,p < 0.01,VWFA_left,-39,-47,-17,85,Talairach,
P4,p < 0.01,left_IFG,-52,-2,27,105,Talairach,
P5,p < 0.01,VWFA_left,-38,-51,-11,59,Talairach,
P5,p < 0.01,left_IFG,-40,7,25,49,Talairach,
P6,p < 0.05,VWFA_left,-42,-55,-6,30,Talairach,
P6,p < 0.05,left_IFG,-41,7,29,107,Talairach,
P7,p < 0.05,VWFA_left,-41,-56,-9,54,Talairach,
P7,p < 0.05,left_IFG,-37,2,29,58,Talairach,
P8,p < 0.05,VWFA_left,-42,-44,-16,84,Talairach,
P8,p < 0.05,left_IFG,-39,1,27,57,Talairach,
P9,p < 0.05,VWFA_left,-41,-64,-10,52,Talairach,
P9,p < 0.05,left_IFG,-42,-3,29,49,Talairach,
P10,p < 0.05,VWFA_left,-40,-58,-14,47,Talairach,
P10,p < 0.05,left_IFG,-31,6,30,20,Talairach,
P11,p < 0.05,VWFA_left,-41,-67,-10,30,Talairach,
P11,p < 0.05,left_IFG,-35,13,28,46,Talairach,
