Brain_Region,H,x,y,z,t,p,Voxels,Brain_Space,Task_Name
Middle and Inferior Occipital Gyri,L,-38,-82,-4,3.11,0.001,71,MNI,
"Middle and Superior Temporal Gyri, Rolandic Operculum, Heshl Gyrus, Insula, Postcentral Gyrus",R,32,-32,24,4.96,<0.001,2401,MNI,
Cingulate Gyrus,L,-12,-2,30,4.21,<0.001,359,MNI,
"Superior Temporal Gyrus, Postcentral Gyrus, Heschl Gyrus",L,-60,-30,14,4.1,<0.001,785,MNI,
"Inferior Parietal Lobule, SupraMarginal Gyrus",L,-46,-42,26,4.05,<0.001,169,MNI,
"Postcentral and Precentral Gyri, Inferior Frontal Gyrus (oper)",L,-54,0,28,4.05,<0.001,484,MNI,
"Superior Temporal Gyrus, Insula",R,52,-2,-4,3.57,<0.001,224,MNI,
"Hippocampus, Putamen",R,30,-12,-12,3.56,<0.001,127,MNI,
Middle Temporal Gyrus,L,-52,-48,6,3.46,<0.001,148,MNI,
Superior Temporal Gyrus,L,-60,6,-12,3.37,0.001,100,MNI,
Precentral Gyrus,R,24,-30,68,3.06,0.001,53,MNI,
"Insula, Superior Temporal Gyrus",L,-36,-8,-2,3.06,0.001,98,MNI,
Precentral Gyrus,R,38,-14,52,2.95,0.002,60,MNI,
Precentral Gyrus,L,-54,0,28,3.54,<0.001,102,MNI,
"Inferior Frontal Gyrus (orb), Insula, Superior Temporal Gyrus",L,-30,6,-18,3.45,<0.001,104,MNI,
Superior Parietal Lobule,L,-24,-54,44,3.44,<0.001,59,MNI,
Superior Parietal Lobule,L,-38,-52,62,3.43,0.001,56,MNI,
Inferior Parietal Lobule,L,-34,12,18,3.33,0.001,60,MNI,
Inferior Frontal Gyrus (oper),L,-24,-28,0,3.31,0.001,140,MNI,
Hippocampus,L,-10,-52,0,3.27,0.001,74,MNI,
"Lingual, Cerebellum (IV, V)",L,-44,-42,24,3.21,0.001,64,MNI,
"SupraMarginal Gyrus, Superior Temporal Gyrus",L,-44,-42,24,3.21,0.001,64,MNI,
"Superor Temporal Gyrus, Insula",R,38,22,-26,4.11,<0.001,114,MNI,
Superior and Medial Frontal Gyri,R,16,62,8,3.46,<0.001,88,MNI,
Middle and Inferior Temporal Gyri,L,-58,-62,0,3.34,0.001,135,MNI,
"Insula, Superior Temporal Gyrus",R,42,12,-14,3.25,0.001,61,MNI,
Superior Temporal Gyrus,L,-30,6,-22,2.91,0.002,61,MNI,
